,geometry,n_bus,dist_nearest_bus,n_bus_routes,n_bus_trips,n_metro,dist_nearest_metro,n_metro_routes,n_metro_trips,dist_nearest_cycle_path,validations_bus,validations_metro,dist_nearest_school,dist_nearest_attraction
0,"POLYGON ((-8.691288 41.16747220000001, -8.690517583333333 41.16747220000001, -8.690517583333333 41.16824148333335, -8.691288 41.16824148333335, -8.691288 41.16747220000001))",0,0.0014471580828589955,4,62,0,0.012536347806874551,1,1,0.0013116081205622233,664.9357142857143,1752.2098425860386,0.02300460802176882,0.029836391265849183
1,"POLYGON ((-8.691288 41.16824148333335, -8.690517583333333 41.16824148333335, -8.690517583333333 41.16901076666668, -8.691288 41.16901076666668, -8.691288 41.16824148333335))",0,0.00164842709395722,4,62,0,0.0117815813727256,1,1,0.0014517879662948809,664.9357142857143,1752.2098425860386,0.023193920470872084,0.029240704197664627
2,"POLYGON ((-8.691288 41.16901076666668, -8.690517583333333 41.16901076666668, -8.690517583333333 41.169780050000014, -8.691288 41.169780050000014, -8.691288 41.16901076666668))",0,0.0021269581437613084,4,62,0,0.011028821181029191,1,1,0.001779973190645032,664.9357142857143,1752.2098425860386,0.023406996754753377,0.02861068536769838
3,"POLYGON ((-8.690517583333333 41.165933633333346, -8.689747166666667 41.165933633333346, -8.689747166666667 41.16670291666668, -8.690517583333333 41.16670291666668, -8.690517583333333 41.165933633333346))",0,0.0014930742183061642,2,93,0,0.013942468049661991,1,1,0.0013388402928606019,664.9357142857143,1752.2098425860386,0.021940182907542856,0.028308883272161696
4,"POLYGON ((-8.690517583333333 41.16670291666668, -8.689747166666667 41.16670291666668, -8.689747166666667 41.16747220000001, -8.690517583333333 41.16747220000001, -8.690517583333333 41.16670291666668))",0,0.0010093299181225738,4,62,0,0.013178424459521053,1,1,0.0008009035676328786,664.9357142857143,1752.2098425860386,0.022085071772638083,0.028759197188662277
5,"POLYGON ((-8.690517583333333 41.16747220000001, -8.689747166666667 41.16747220000001, -8.689747166666667 41.16824148333335, -8.690517583333333 41.16824148333335, -8.690517583333333 41.16747220000001))",0,0.0006769036541828239,4,62,0,0.012415028024488106,1,1,0.0005412310735101055,664.9357142857143,1752.2098425860386,0.02225562306659892,0.029222826137276326
6,"POLYGON ((-8.690517583333333 41.16824148333335, -8.689747166666667 41.16824148333335, -8.689747166666667 41.16901076666668, -8.690517583333333 41.16901076666668, -8.690517583333333 41.16824148333335))",0,0.0010398287956938789,4,62,0,0.0116524059385198,1,1,0.000763374391212169,664.9357142857143,1752.2098425860386,0.02245125196189377,0.029684774812280722
7,"POLYGON ((-8.690517583333333 41.16901076666668, -8.689747166666667 41.16901076666668, -8.689747166666667 41.169780050000014, -8.690517583333333 41.169780050000014, -8.690517583333333 41.16901076666668))",0,0.0016993772346287584,4,62,0,0.010890720874075086,1,1,0.0011700175915585489,664.9357142857143,1752.2098425860386,0.022671309290032964,0.029064383545671913
8,"POLYGON ((-8.690517583333333 41.172087900000015, -8.689747166666667 41.172087900000015, -8.689747166666667 41.17285718333335, -8.690517583333333 41.17285718333335, -8.690517583333333 41.172087900000015))",0,0.001794439185155401,1,62,0,0.0078587967336313,1,1,0.0009921234915756729,544.2166666666667,1752.2098425860386,0.02378113544249588,0.02666054141923816
9,"POLYGON ((-8.690517583333333 41.17285718333335, -8.689747166666667 41.17285718333335, -8.689747166666667 41.17362646666668, -8.690517583333333 41.17362646666668, -8.690517583333333 41.17285718333335))",0,0.0013123729458277787,1,62,0,0.007106890429083742,1,1,0.0010977973557916192,544.2166666666667,1752.2098425860386,0.02411202856815939,0.026081698036564387
10,"POLYGON ((-8.689747166666667 41.16516435000001, -8.68897675 41.16516435000001, -8.68897675 41.165933633333346, -8.689747166666667 41.165933633333346, -8.689747166666667 41.16516435000001))",0,0.0018875075978880317,2,93,0,0.01464436892750681,1,1,0.001719601373984544,92.17056277056275,1752.2098425860386,0.021058592119413994,0.027236525519090928
11,"POLYGON ((-8.689747166666667 41.165933633333346, -8.68897675 41.165933633333346, -8.68897675 41.16670291666668, -8.689747166666667 41.16670291666668, -8.689747166666667 41.165933633333346))",0,0.0011283126269794222,2,93,0,0.013876325288428722,1,1,0.0009874042912280672,664.9357142857143,1752.2098425860386,0.021181583452238348,0.027682905907398993
